ID;PP global;SE global;N global;f global;Scala Diagnose;PP Diagnose;SE Diagnose;N Diagnose;f Diagnose;alle Skalen;alle PP
P000000;-3,28;0,2;32;0,44;Sim/A/A03;-3,18;0,47;6;1;Sim/B/B02 Sim/B/B01 Sim/A/A06 Sim/A/A02 Sim/A/A01 Sim/A/A05 ;-3,28 (1017,4 | 1 | 0) -3,28 (17,57 | 3 | 0) -3,28 (3,62 | 3 | 0) -3,3 (0,68 | 4 | 0) -3,34 (0,27 | 10 | 0,7) -3,91 (1,06 | 5 | 0,2) 
P000001;4,64;0,11;63;0,86;Sim/C/C09;4,69;0,2;5;0,6;Sim/C/C08 Sim/C/C04 Sim/B/B03 ;4,53 (0,23 | 4 | 0,5) 4,29 (0,25 | 10 | 0,7) 2,26 (0,85 | 6 | 0,83) 
P000002;1,6;0,19;31;0,68;Sim/B/B03;1,82;0,36;10;0,8;Sim/B/B04 Sim/B/B02 Sim/B/B01 ;1,6 (5,89 | 1 | 0) 1,49 (0,44 | 10 | 0,6) 1,4 (0,3 | 10 | 0,7) 
P000003;1,01;0,11;53;0,75;Sim/B/B01;1,89;0,46;10;0,8;Sim/A/A02 Sim/B/B03 Sim/B/B02 ;0,83 (0,39 | 10 | 0,9) 0,6 (0,24 | 5 | 0,2) 0,51 (0,25 | 5 | 0,4) 
P000004;4,17;0,08;71;0,63;Sim/C/C04;4,79;0,33;10;1;Sim/C/C10 Sim/C/C09 Sim/C/C06 Sim/C/C05 ;4,16 (0,25 | 10 | 0,7) 3,95 (0,26 | 10 | 0,2) 3,54 (0,21 | 9 | 0,11) 3,23 (0,2 | 8 | 0,38) 
P000005;-2,56;0,16;25;0,28;Sim/A/A05;-2,18;0,23;5;0,6;Sim/B/B02 Sim/B/B01 Sim/A/A06 Sim/A/A02 ;-2,56 (119,73 | 1 | 0) -2,56 (4,11 | 3 | 0) -2,56 (1,89 | 3 | 0) -3,24 (0,48 | 10 | 0,1) 
P000006;-0,99;0,09;62;0,35;Sim/B/B01;-0,73;0,26;10;0,5;Sim/B/B02 Sim/C/C01 Sim/A/A02 Sim/A/A07 ;-1 (0,66 | 5 | 0) -1,17 (0,22 | 9 | 0,22) -1,54 (0,24 | 6 | 0,5) -1,63 (0,88 | 6 | 0,17) 
P000007;-4,09;0,15;22;0,27;Sim/A/A01;-4,06;0,23;6;0,5;Sim/B/B02 Sim/B/B01 Sim/A/A06 Sim/A/A02 Sim/A/A03 ;-4,09 (11075,18 | 1 | 0) -4,09 (89,23 | 3 | 0) -4,09 (7,55 | 3 | 0) -4,09 (3,34 | 4 | 0) -4,1 (0,19 | 5 | 0,6) 
P000008;0,28;0,1;71;0,66;Sim/B/B03;0,75;0,24;3;0,33;Sim/A/A02 Sim/A/A06 Sim/A/A07 Sim/B/B01 Sim/A/A04 ;0,24 (0,34 | 10 | 0,8) 0,08 (0,54 | 9 | 0,89) 0,06 (0,31 | 10 | 0,7) -0,04 (0,24 | 5 | 0,6) -0,13 (0,24 | 3 | 0,33) 
P000009;-1,47;0,12;58;0,36;Sim/A/A04;-0,97;0,19;5;0,6;Sim/B/B01 Sim/C/C01 Sim/A/A05 Sim/A/A02 ;-1,53 (0,36 | 8 | 0) -1,59 (0,37 | 10 | 0,1) -1,81 (0,28 | 10 | 0,8) -1,98 (0,22 | 6 | 0,5) 
P000010;-4,3;0,16;19;0,16;Sim/A/A01;-4,27;0,23;5;0,4;Sim/B/B02 Sim/B/B01 Sim/A/A06 Sim/A/A02 Sim/A/A03 ;-4,3 (21045,29 | 1 | 0) -4,3 (138,12 | 3 | 0) -4,3 (9,21 | 3 | 0) -4,3 (5,28 | 4 | 0) -4,34 (0,24 | 3 | 0,33) 
P000011;-4,29;0,15;21;0,19;Sim/A/A01;-4,06;0,23;6;0,5;Sim/B/B02 Sim/B/B01 Sim/A/A06 Sim/A/A02 Sim/A/A03 ;-4,29 (20335,44 | 1 | 0) -4,29 (134,93 | 3 | 0) -4,29 (9,11 | 3 | 0) -4,29 (5,15 | 4 | 0) -4,52 (0,25 | 4 | 0,25) 
P000012;-5,33;0,53;25;0,04;;;;;;Sim/B/B02 Sim/B/B01 Sim/A/A02 Sim/A/A06 Sim/A/A01 ;-5,33 (441377,55 | 1 | 0) -5,33 (1095,2 | 3 | 0) -5,33 (45,82 | 4 | 0) -5,33 (23,83 | 3 | 0) -5,42 (0,93 | 4 | 0) 
P000013;-5,43;0,77;18;0;;;;;;;
P000014;-3,91;0,15;26;0,31;Sim/A/A03;-3,9;0,21;8;0,5;Sim/B/B02 Sim/B/B01 Sim/A/A06 Sim/A/A02 Sim/A/A01 ;-3,91 (6600,42 | 1 | 0) -3,91 (62,74 | 3 | 0) -3,91 (6,43 | 3 | 0) -3,91 (2,32 | 4 | 0) -3,92 (0,21 | 7 | 0,57) 
P000015;-1,5;0,13;54;0,2;Sim/A/A04;-1;0,25;3;0,67;Sim/C/C03 Sim/C/C02 Sim/B/B02 Sim/A/A02 Sim/A/A06 ;-1,51 (1,04 | 3 | 0) -1,51 (0,77 | 4 | 0) -1,53 (1,84 | 3 | 0) -1,99 (0,23 | 6 | 0,33) -2,75 (1,3 | 9 | 0,11) 
P000016;-4,42;0,16;22;0,14;Sim/A/A03;-3,98;0,22;5;0,6;Sim/B/B02 Sim/B/B01 Sim/A/A06 Sim/A/A02 Sim/A/A01 ;-4,42 (29598,05 | 1 | 0) -4,42 (174,2 | 3 | 0) -4,42 (10,24 | 3 | 0) -4,42 (6,73 | 4 | 0) -5,56 (1,15 | 6 | 0) 
P000017;-3,24;0,25;21;0,19;;;;;;Sim/B/B02 Sim/B/B01 Sim/A/A06 Sim/A/A02 Sim/A/A05 ;-3,24 (897,75 | 1 | 0) -3,24 (16,14 | 3 | 0) -3,24 (3,49 | 3 | 0) -3,28 (0,65 | 4 | 0) -3,91 (1,06 | 5 | 0) 
