ID;PP global;SE global;N global;f global;Scala Diagnose;PP Diagnose;SE Diagnose;N Diagnose;f Diagnose;alle Skalen;alle PP
P000000;-3,38;0,24;15;0,4;Sim/A/A01;-3,42;0,26;6;0,67;Sim/A/A01 Sim/A/A02 Sim/A/A05 Sim/A/A06 Sim/B/B01 ;-3,42 (0,26 | 6 | 0,67) -3,38 (16,98 | 2 | 0) -3,4 (0,74 | 3 | 0) -3,38 (355,74 | 1 | 0) -3,38 (4542,72 | 1 | 0) 
P000001;4,68;0,18;13;0,77;Sim/C/C08;4,58;0,24;4;0,25;Sim/C/C08 ;4,58 (0,24 | 4 | 0,25) 
P000002;1,64;0,24;10;0,6;Sim/B/B03;1,72;0,39;4;1;Sim/B/B01 Sim/B/B02 Sim/B/B04 ;0,7 (0,97 | 2 | 0,5) 1,56 (0,57 | 2 | 0) 1,62 (5,52 | 1 | 0) 
P000003;0,88;0,22;6;0,5;Sim/B/B03;0,81;0,26;3;0,33;Sim/B/B02 Sim/B/B03 ;0,88 (4,17 | 1 | 0) 0,81 (0,26 | 3 | 0,33) 
P000004;3,84;0,17;12;0,67;Sim/C/C06;3,82;0,23;3;0,33;Sim/C/C05 Sim/C/C06 Sim/C/C09 ;3,79 (0,39 | 1 | 0) 3,82 (0,23 | 3 | 0,33) 3,84 (1,36 | 1 | 0) 
P000005;-2,47;0,2;9;0,33;Sim/A/A02;-2,57;0,39;3;0
P000005;-2,47;0,2;9;0,33;Sim/A/A05;-2,27;0,26;4;0,75;Sim/A/A02 Sim/A/A06 Sim/B/B01 ;-2,57 (0,39 | 3 | 0) -2,47 (28,06 | 1 | 0) -2,47 (299,84 | 1 | 0) 
P000006;-1,23;0,19;8;0,5;Sim/A/A04;-1,04;0,23;3;0,67;Sim/A/A02 Sim/A/A06 Sim/B/B01 ;-1,54 (0,32 | 2 | 0,5) -1,24 (0,96 | 1 | 0) -1,23 (7,59 | 1 | 0) 
P000007;-4,17;0,22;12;0,25;Sim/A/A01;-4,03;0,39;3;0,67;Sim/A/A02 Sim/A/A03 Sim/A/A05 Sim/A/A06 Sim/B/B01 ;-4,17 (170,55 | 2 | 0) -4,25 (0,28 | 2 | 0,5) -4,17 (4,34 | 3 | 0) -4,17 (3187,02 | 1 | 0) -4,17 (47464,07 | 1 | 0) 
P000008;-0,17;0,22;4;0,5;;;;;;Sim/A/A04 Sim/B/B01 ;-0,36 (0,64 | 1 | 0) -0,22 (0,45 | 1 | 0) 
