ID;PP global;SE global;N global;f global;Scala Diagnose;PP Diagnose;SE Diagnose;N Diagnose;f Diagnose;alle Skalen;alle PP
P000898;-0,21;0,08;63;0,57;Sim/C/C02;-0,91;0,26;10;0,1;Sim/C/C02 Sim/A/A07 Sim/B/B02 ;-0,91 (0,26 | 10 | 0,1) -0,88 (0,24 | 4 | 0,25) -0,37 (0,23 | 5 | 0,2) 
P000899;-2,53;0,15;39;0,51;Sim/A/A03;-3,16;0,42;10;0,9;Sim/A/A03 Sim/A/A05 Sim/B/B01 ;-3,16 (0,42 | 10 | 0,9) -2,78 (0,22 | 5 | 0,4) -2,53 (1,3 | 5 | 0) 
P000900;0,62;0,1;70;0,66;Sim/B/B01;0,31;0,28;10;0,5;Sim/B/B01 Sim/B/B03 Sim/C/C02 Sim/A/A04 ;0,31 (0,28 | 10 | 0,5) 0,49 (0,23 | 7 | 0,29) 0,53 (0,29 | 10 | 0,6) 0,59 (0,34 | 10 | 0,8) 
P000901;-0,41;0,08;66;0,53;Sim/B/B01;-0,94;0,28;10;0,4;Sim/B/B01 Sim/C/C02 Sim/A/A04 Sim/C/C03 Sim/C/C01 Sim/A/A06 ;-0,94 (0,28 | 10 | 0,4) -0,78 (0,25 | 4 | 0,25) -0,73 (0,23 | 6 | 0,5) -0,64 (0,34 | 10 | 0,2) -0,57 (0,22 | 4 | 0,5) -0,46 (0,23 | 7 | 0,71) 
P000902;-0,77;0,08;59;0,41;;;;;;Sim/C/C02 Sim/A/A02 Sim/A/A04 Sim/C/C03 ;-1,68 (0,94 | 5 | 0,2) -1,24 (0,24 | 4 | 0,5) -1,15 (0,2 | 4 | 0,5) -1,03 (0,53 | 6 | 0,17) 
P000903;-2,08;0,15;28;0,32;Sim/A/A02;-2,16;0,22;6;0,5;Sim/A/A02 Sim/A/A06 Sim/A/A05 Sim/A/A04 ;-2,16 (0,22 | 6 | 0,5) -2,1 (0,89 | 5 | 0) -2,09 (0,25 | 5 | 0,8) -2,08 (0,82 | 1 | 0) 
P000904;-4,59;0,16;33;0,15;Sim/A/A03;-4,74;0,28;10;0,3;Sim/A/A03 Sim/B/B01 Sim/B/B02 Sim/B/B03 Sim/A/A06 ;-4,74 (0,28 | 10 | 0,3) -4,59 (4,83 | 5 | 0) -4,59 (9,4 | 1 | 0) -4,59 (8,77 | 1 | 0) -4,59 (3,29 | 5 | 0) 
P000905;0,49;0,1;60;0,67;Sim/A/A07;-0,17;0,24;7;0,71;Sim/A/A07 Sim/A/A04 Sim/C/C02 Sim/C/C03 Sim/B/B02 Sim/C/C01 ;-0,17 (0,24 | 7 | 0,71) 0,24 (0,24 | 4 | 0,75) 0,29 (0,28 | 10 | 0,6) 0,32 (0,23 | 4 | 0,25) 0,45 (0,24 | 4 | 0,5) 0,45 (0,38 | 10 | 0,8) 
P000906;3,29;0,09;62;0,56;Sim/B/B02;2,84;0,43;10;0,9;Sim/B/B03 Sim/B/B02 Sim/C/C05 Sim/C/C07 Sim/C/C04 ;2,23 (0,89 | 5 | 0,8) 2,84 (0,43 | 10 | 0,9) 3,03 (0,21 | 6 | 0,33) 3,13 (0,24 | 5 | 0,4) 3,26 (0,26 | 10 | 0,4) 
P000907;3,36;0,1;52;0,6;Sim/C/C07;2,72;0,29;10;0,3;Sim/C/C04 Sim/C/C07 ;2,02 (0,7 | 7 | 0,14) 2,72 (0,29 | 10 | 0,3) 
P000908;-1,7;0,15;41;0,29;Sim/A/A05;-2,22;0,24;5;0,6;Sim/A/A05 Sim/A/A04 Sim/A/A06 ;-2,22 (0,24 | 5 | 0,6) -2,06 (0,59 | 7 | 0,14) -2,06 (0,72 | 8 | 0,13) 
P000909;-4,36;0,15;29;0,17;Sim/A/A03;-4,49;0,23;5;0,4;Sim/B/B01 Sim/A/A03 Sim/A/A05 Sim/B/B02 Sim/B/B03 Sim/A/A04 ;-5,16 (5,8 | 5 | 0) -4,49 (0,23 | 5 | 0,4) -4,37 (1,74 | 5 | 0) -4,36 (9,16 | 1 | 0) -4,36 (8,5 | 1 | 0) -4,36 (517,5 | 1 | 0) 
