ID;PP global;SE global;N global;f global;Scala Diagnose;PP Diagnose;SE Diagnose;N Diagnose;f Diagnose;alle Skalen;alle PP
P000000;-3,44;0,22;25;0,24;Sim/A/A03;-3,32;0,45;4;1;Sim/B/B02 Sim/B/B01 Sim/A/A06 Sim/A/A02 Sim/A/A05 Sim/A/A01 ;-3,44 (222,69 | 2 | 0) -3,44 (8,62 | 4 | 0) -3,44 (4,17 | 3 | 0) -3,45 (0,9 | 4 | 0) -3,49 (0,58 | 4 | 0) -3,56 (0,28 | 4 | 0,5) 
P000001;4,62;0,14;25;0,8;Sim/C/C09;4,69;0,2;5;0,6;Sim/C/C04 ;4,15 (0,32 | 4 | 0,5) 
P000002;1,58;0,19;25;0,68;Sim/B/B03;1,89;0,51;5;0,8;Sim/B/B02 Sim/C/C03 ;1,35 (0,46 | 7 | 0,43) 1,27 (0,36 | 4 | 0,75) 
P000003;0,96;0,12;25;0,64;Sim/B/B01;1,91;0,54;5;0,8;Sim/C/C03 Sim/A/A02 Sim/B/B03 Sim/B/B02 ;0,93 (0,25 | 5 | 0,6) 0,81 (0,4 | 3 | 0,67) 0,69 (0,24 | 4 | 0,25) 0,43 (0,28 | 3 | 0,33) 
P000004;4,42;0,12;25;0,76;Sim/C/C08;4,53;0,23;3;1;Sim/C/C06 Sim/C/C10 Sim/C/C09 ;4,34 (0,42 | 1 | 0) 4,12 (0,32 | 4 | 0,75) 3,97 (0,31 | 5 | 0,2) 
P000005;-2,56;0,16;25;0,32;Sim/A/A05;-2,18;0,23;5;0,6;Sim/B/B02 Sim/B/B01 Sim/A/A06 Sim/A/A02 Sim/A/A03 ;-2,56 (32,56 | 2 | 0) -2,56 (1,98 | 4 | 0) -2,56 (1,88 | 3 | 0) -2,7 (0,27 | 5 | 0) -3,24 (0,76 | 2 | 0,5) 
P000006;-0,97;0,1;25;0,4;Sim/A/A04;-0,77;0,25;5;0,6;Sim/A/A07 Sim/B/B01 Sim/B/B02 Sim/C/C01 Sim/A/A02 ;-0,99 (0,36 | 2 | 0) -1,19 (0,38 | 4 | 0,25) -1,2 (2,13 | 1 | 0) -1,24 (0,32 | 3 | 0,33) -1,54 (0,32 | 2 | 0,5) 
P000007;-4,22;0,19;25;0,12;Sim/A/A01;-4,17;0,27;4;0,5;Sim/B/B02 Sim/B/B01 Sim/A/A06 Sim/A/A02 Sim/C/C01 Sim/A/A05 Sim/A/A03 ;-4,22 (1216,75 | 2 | 0) -4,22 (31,78 | 4 | 0) -4,22 (8,57 | 3 | 0) -4,22 (4,48 | 4 | 0) -4,23 (4,87 | 2 | 0) -4,24 (1,33 | 4 | 0) -4,25 (0,28 | 2 | 0,5) 
P000008;0,22;0,12;25;0,56;Sim/B/B02;0,68;0,31;5;0,6;Sim/A/A02 Sim/A/A04 Sim/B/B01 ;0,19 (0,37 | 5 | 0,6) -0,13 (0,24 | 3 | 0,33) -0,13 (0,31 | 2 | 0,5) 
P000009;-1,47;0,14;25;0,44;Sim/A/A04;-0,97;0,19;5;0,6;Sim/B/B01 Sim/A/A06 Sim/A/A05 Sim/A/A02 ;-1,52 (0,41 | 4 | 0) -1,56 (0,43 | 5 | 0,2) -1,73 (0,38 | 4 | 0,75) -1,98 (0,22 | 6 | 0,5) 
P000010;-4,22;0,19;25;0,12;Sim/A/A01;-4,17;0,27;4;0,5;Sim/B/B02 Sim/B/B01 Sim/A/A06 Sim/A/A02 Sim/C/C01 Sim/A/A05 Sim/A/A03 ;-4,22 (1216,75 | 2 | 0) -4,22 (31,78 | 4 | 0) -4,22 (8,57 | 3 | 0) -4,22 (4,48 | 4 | 0) -4,23 (4,87 | 2 | 0) -4,24 (1,33 | 4 | 0) -4,25 (0,28 | 2 | 0,5) 
P000011;-4,35;0,17;25;0,12;Sim/A/A01;-4,17;0,27;4;0,5;Sim/B/B02 Sim/B/B01 Sim/C/C01 Sim/A/A06 Sim/A/A02 Sim/A/A05 Sim/A/A03 ;-4,35 (1581,51 | 2 | 0) -4,35 (38,83 | 4 | 0) -4,35 (15,29 | 1 | 0) -4,35 (9,59 | 3 | 0) -4,35 (5,8 | 4 | 0) -4,36 (1,47 | 4 | 0) -4,48 (0,26 | 3 | 0,33) 
