ID;PP global;SE global;N global;f global;Scala Diagnose;PP Diagnose;SE Diagnose;N Diagnose;f Diagnose;alle Skalen;alle PP
P000932;-2,09;0,33;6;0,33;Sim/A/A02;-2,16;0,4;3;0,33;Sim/A/A02 Sim/A/A06 Sim/B/B01 ;-2,16 (0,4 | 3 | 0,33) -2,09 (9,77 | 1 | 0) -2,09 (96,87 | 1 | 0) 
P000933;1,9;0,32;6;0,67;Sim/B/B02;1,87;0,35;3;0,33;Sim/B/B02 ;1,87 (0,35 | 3 | 0,33) 
P000934;-4,14;0,81;6;0;Sim/A/A02;-3,06;0,78;3;0;;
P000935;-3,04;0,57;6;0,17;Sim/A/A02;-3,12;0,9;3;0;Sim/A/A02 Sim/A/A06 Sim/B/B01 ;-3,12 (0,9 | 3 | 0) -3,04 (137,96 | 1 | 0) -3,04 (1648,51 | 1 | 0) 
P000936;3,77;0,65;6;1;;;;;;;
P000937;-1,94;0,23;6;0,17;Sim/A/A02;-1,9;0,25;3;0,33;Sim/A/A04 Sim/A/A06 Sim/B/B01 ;-1,97 (0,62 | 1 | 0) -1,94 (6,51 | 1 | 0) -1,94 (62,71 | 1 | 0) 
P000938;3,07;0,31;6;0,83;;;;;;Sim/C/C10 ;3 (0,52 | 1 | 0) 
P000939;-3,04;0,57;6;0,17;Sim/A/A02;-3,12;0,9;3;0;Sim/A/A02 Sim/A/A06 Sim/B/B01 ;-3,12 (0,9 | 3 | 0) -3,04 (137,96 | 1 | 0) -3,04 (1648,51 | 1 | 0) 
P000940;-1,37;0,24;6;0,5;Sim/A/A02;-1,49;0,3;3;0,67;Sim/A/A02 Sim/A/A06 Sim/B/B01 ;-1,49 (0,3 | 3 | 0,67) -1,37 (1,37 | 1 | 0) -1,37 (11,45 | 1 | 0) 
P000941;-1,37;0,24;6;0,5;Sim/A/A02;-1,49;0,3;3;0,67;Sim/A/A02 Sim/A/A06 Sim/B/B01 ;-1,49 (0,3 | 3 | 0,67) -1,37 (1,37 | 1 | 0) -1,37 (11,45 | 1 | 0) 
P000942;0,33;0,23;4;0,5;;;;;;Sim/B/B03 Sim/C/C03 ;0,3 (0,58 | 1 | 0) 0,27 (0,45 | 1 | 0) 
P000943;2,76;0,27;6;0,83;;;;;;Sim/B/B04 ;2,76 (0,27 | 2 | 0,5) 
P000944;-1,37;0,24;6;0,5;Sim/A/A02;-1,49;0,3;3;0,67;Sim/A/A02 Sim/A/A06 Sim/B/B01 ;-1,49 (0,3 | 3 | 0,67) -1,37 (1,37 | 1 | 0) -1,37 (11,45 | 1 | 0) 
P000945;2,36;0,35;6;0,67;;;;;;Sim/B/B04 ;2,28 (0,58 | 2 | 0) 
P000946;-0,08;0,19;6;0,33;;;;;;Sim/A/A04 Sim/C/C03 ;-0,2 (0,29 | 2 | 0) -0,09 (1,1 | 1 | 0) 
P000947;-4,14;0,81;6;0;Sim/A/A02;-3,06;0,78;3;0;;
