ID;PP global;SE global;N global;f global;Scala Diagnose;PP Diagnose;SE Diagnose;N Diagnose;f Diagnose;alle Skalen;alle PP
P000000;-3,31;0,19;37;0,35;;;;;;Sim/A/A05 Sim/A/A02 Sim/A/A06 Sim/B/B01 Sim/B/B02 ;-3,92 (1,05 | 6 | 0,17) -3,34 (0,65 | 5 | 0) -3,32 (1,84 | 5 | 0) -3,32 (2,73 | 5 | 0) -3,32 (6,21 | 1 | 0) 
P000001;4,62;0,11;62;0,85;Sim/C/C04;4,29;0,25;10;0,7;Sim/B/B03 Sim/C/C04 Sim/C/C08 ;2,26 (0,85 | 6 | 0,83) 4,29 (0,25 | 10 | 0,7) 4,43 (0,22 | 5 | 0,4) 
P000002;1,59;0,16;53;0,74;Sim/B/B02;1,32;0,43;10;0,5;Sim/B/B02 Sim/B/B01 Sim/C/C03 Sim/C/C04 Sim/C/C07 ;1,32 (0,43 | 10 | 0,5) 1,4 (0,3 | 10 | 0,7) 1,44 (0,35 | 10 | 0,9) 1,52 (1,75 | 2 | 0) 1,53 (2,01 | 1 | 0) 
P000003;0,98;0,11;50;0,76;Sim/B/B03;0,6;0,24;5;0,2;Sim/B/B02 Sim/B/B03 Sim/A/A02 ;0,51 (0,25 | 4 | 0,5) 0,6 (0,24 | 5 | 0,2) 0,83 (0,39 | 10 | 0,9) 
P000004;4,21;0,09;70;0,7;Sim/C/C05;3;0,23;6;0,17;Sim/C/C05 Sim/C/C06 Sim/C/C09 Sim/C/C10 ;3 (0,23 | 6 | 0,17) 3,56 (0,22 | 5 | 0,2) 3,95 (0,26 | 10 | 0,2) 4,16 (0,25 | 10 | 0,7) 
P000005;-2,55;0,16;35;0,29;Sim/A/A02;-3,24;0,48;10;0,1;Sim/A/A02 Sim/A/A06 ;-3,24 (0,48 | 10 | 0,1) -2,6 (1,17 | 5 | 0) 
P000006;-1,04;0,09;55;0,4;Sim/A/A02;-1,54;0,24;6;0,5;Sim/A/A07 Sim/A/A02 Sim/C/C01 Sim/A/A04 Sim/B/B02 ;-1,67 (1 | 5 | 0) -1,54 (0,24 | 6 | 0,5) -1,17 (0,22 | 9 | 0,22) -1,06 (0,23 | 3 | 0,67) -1,04 (0,69 | 7 | 0) 
P000007;-4,11;0,14;32;0,19;;;;;;Sim/A/A05 Sim/A/A06 Sim/B/B01 Sim/A/A02 Sim/B/B03 ;-4,12 (1,14 | 5 | 0) -4,11 (2,78 | 5 | 0) -4,11 (4,03 | 5 | 0) -4,11 (2,4 | 5 | 0) -4,11 (8,22 | 1 | 0) 
P000008;0,24;0,1;67;0,7;Sim/B/B01;-0,04;0,24;5;0,6;Sim/A/A04 Sim/B/B01 Sim/A/A06 Sim/A/A02 Sim/A/A07 ;-0,13 (0,24 | 3 | 0,33) -0,04 (0,24 | 5 | 0,6) 0,08 (0,54 | 9 | 0,89) 0,24 (0,34 | 10 | 0,8) 0,24 (0,37 | 10 | 0,8) 
P000009;-1,79;0,16;34;0,41;Sim/A/A02;-1,98;0,22;6;0,5;Sim/B/B01 Sim/A/A02 Sim/A/A05 ;-2,51 (1,12 | 8 | 0) -1,98 (0,22 | 6 | 0,5) -1,81 (0,28 | 10 | 0,8) 
