ID;PP global;SE global;N global;f global;Scala Diagnose;PP Diagnose;SE Diagnose;N Diagnose;f Diagnose;alle Skalen;alle PP
P000000;-3,42;0,21;25;0,32;Sim/A/A05;-4;1,08;5;0,2;Sim/A/A05 Sim/A/A01 Sim/A/A02 Sim/B/B01 Sim/B/B02 ;-4 (1,08 | 5 | 0,2) -3,56 (0,28 | 4 | 0,5) -3,43 (0,8 | 5 | 0) -3,42 (23,13 | 3 | 0) -3,42 (1523,59 | 1 | 0) 
P000001;4,6;0,14;25;0,8;;;;;;Sim/C/C04 ;4,51 (0,34 | 2 | 0) 
P000002;1,58;0,19;25;0,72;Sim/C/C03;1,27;0,36;4;0,75;Sim/C/C03 Sim/B/B02 ;1,27 (0,36 | 4 | 0,75) 1,35 (0,46 | 7 | 0,43) 
P000003;0,92;0,12;25;0,64;Sim/B/B02;0,51;0,25;4;0,5;Sim/B/B02 Sim/B/B03 Sim/A/A02 ;0,51 (0,25 | 4 | 0,5) 0,6 (0,24 | 5 | 0,2) 0,81 (0,4 | 3 | 0,67) 
P000004;4,08;0,13;25;0,76;;;;;;Sim/C/C05 Sim/C/C06 ;3,96 (0,31 | 2 | 0) 4,02 (0,35 | 1 | 0) 
P000005;-2,58;0,17;25;0,44;Sim/A/A03;-2,88;0,64;5;0,8;Sim/A/A03 Sim/A/A02 Sim/A/A06 Sim/B/B01 Sim/B/B02 ;-2,88 (0,64 | 5 | 0,8) -2,72 (0,27 | 5 | 0) -2,58 (1,92 | 3 | 0) -2,58 (4,24 | 3 | 0) -2,58 (125,32 | 1 | 0) 
P000006;-1,03;0,11;25;0,4;Sim/A/A02;-1,59;0,29;3;0,33;Sim/A/A02 Sim/C/C01 Sim/B/B01 Sim/B/B02 ;-1,59 (0,29 | 3 | 0,33) -1,24 (0,32 | 3 | 0,33) -1,14 (0,33 | 6 | 0,33) -1,03 (0,93 | 2 | 0) 
P000007;-4,14;0,15;25;0,2;Sim/A/A01;-4,17;0,27;4;0,5;Sim/A/A01 Sim/A/A05 Sim/A/A06 Sim/A/A02 Sim/B/B01 Sim/B/B02 ;-4,17 (0,27 | 4 | 0,5) -4,16 (1,17 | 5 | 0) -4,14 (5,08 | 3 | 0) -4,14 (3,77 | 4 | 0) -4,14 (100 | 3 | 0) -4,14 (13093,34 | 1 | 0) 
P000008;0,24;0,13;25;0,64;Sim/A/A04;-0,13;0,24;3;0,33;Sim/B/B01 Sim/A/A04 Sim/A/A07 Sim/A/A02 ;-0,17 (0,31 | 2 | 0,5) -0,13 (0,24 | 3 | 0,33) 0,04 (0,37 | 4 | 0,75) 0,19 (0,37 | 5 | 0,6) 
P000009;-1,57;0,15;25;0,44;Sim/A/A02;-1,98;0,22;6;0,5;Sim/A/A02 Sim/A/A05 Sim/B/B01 Sim/A/A06 ;-1,98 (0,22 | 6 | 0,5) -1,66 (0,42 | 5 | 0,8) -1,62 (0,45 | 4 | 0) -1,58 (0,44 | 5 | 0,2) 
