ID;PP global;SE global;N global;f global;Scala Diagnose;PP Diagnose;SE Diagnose;N Diagnose;f Diagnose;alle Skalen;alle PP
P000611;2,62;0,14;62;0,37;Sim/C/C07;3,04;0,22;7;0,43;Sim/B/B02 Sim/C/C06 Sim/C/C05 Sim/C/C10 Sim/B/B01 Sim/C/C04 ;2,61 (0,36 | 10 | 0,9) 2,61 (1,04 | 5 | 0) 2,58 (0,37 | 10 | 0) 2,58 (0,42 | 10 | 0) 2,39 (0,78 | 5 | 0,8) 2,29 (0,58 | 5 | 0,2) 
P000612;-1,89;0,14;48;0,27;Sim/A/A06;-1,7;0,41;10;0,2;Sim/C/C03 Sim/B/B01 Sim/C/C01 Sim/A/A04 Sim/A/A02 Sim/C/C02 ;-1,9 (1,64 | 1 | 0) -1,91 (0,59 | 5 | 0) -1,92 (0,56 | 7 | 0) -1,92 (0,42 | 10 | 0,1) -1,98 (0,22 | 6 | 0,5) -2,26 (1,91 | 2 | 0,5) 
P000613;0,06;0,09;74;0,51;Sim/C/C02;0,45;0,3;10;0,6;Sim/A/A07 Sim/C/C01 Sim/B/B02 Sim/A/A02 Sim/C/C03 ;0,05 (0,31 | 10 | 0,8) -0,07 (0,23 | 6 | 0,67) -0,09 (0,23 | 5 | 0,4) -0,24 (0,27 | 10 | 0,7) -0,35 (0,32 | 10 | 0,3) 
P000614;4,68;0,14;36;0,86;;;;;;Sim/C/C09 Sim/B/B02 ;4,35 (0,2 | 5 | 0,4) 4,03 (1,72 | 5 | 0,8) 
P000615;-4,18;0,16;26;0,15;;;;;;Sim/A/A05 Sim/B/B03 Sim/A/A02 Sim/A/A06 Sim/A/A01 Sim/B/B01 ;-4,19 (4,74 | 1 | 0) -4,19 (8,3 | 1 | 0) -4,19 (2,63 | 5 | 0) -4,19 (2,86 | 5 | 0) -4,27 (0,23 | 5 | 0,4) -5,09 (6 | 5 | 0) 
P000616;-2,41;0,17;22;0,27;Sim/A/A05;-2,09;0,25;5;0,8;Sim/B/B01 Sim/A/A06 Sim/A/A02 ;-2,42 (1,14 | 5 | 0) -2,42 (1,06 | 5 | 0) -2,65 (0,24 | 7 | 0,29) 
P000617;-3,74;0,16;28;0,29;Sim/A/A01;-3,66;0,22;7;0,57;Sim/A/A05 Sim/A/A02 Sim/A/A03 Sim/B/B01 ;-3,74 (1,73 | 1 | 0) -3,74 (1,38 | 5 | 0) -3,83 (0,23 | 5 | 0,6) -4,69 (5,32 | 5 | 0) 
P000618;-5,49;0,94;22;0;;;;;;Sim/A/A02 Sim/A/A01 Sim/A/A06 Sim/B/B01 Sim/B/B03 ;-5,64 (8,39 | 5 | 0) -5,82 (1,6 | 5 | 0) -5,95 (5,09 | 5 | 0) -6,53 (8,61 | 5 | 0) -6,81 (12,27 | 1 | 0) 
P000619;6,68;1,19;35;1;;;;;;;
P000620;4,44;0,1;79;0,81;Sim/C/C04;4,66;0,29;10;0,8;Sim/C/C06 Sim/C/C05 Sim/C/C08 Sim/C/C10 Sim/B/B04 ;4,21 (0,21 | 4 | 0,75) 4,21 (0,31 | 10 | 0,8) 4,16 (0,24 | 5 | 0,4) 4,1 (0,25 | 8 | 0,63) 3,69 (0,27 | 10 | 0,8) 
