ID;PP global;SE global;N global;f global;Scala Diagnose;PP Diagnose;SE Diagnose;N Diagnose;f Diagnose;alle Skalen;alle PP
P000000;-3,19;0,22;35;0,46;Sim/A/A01;-3,34;0,27;10;0,7
P000000;-3,19;0,22;35;0,46;Sim/A/A03;-3,06;0,47;9;1;Sim/A/A01 Sim/A/A02 Sim/A/A06 Sim/B/B01 Sim/B/B02 ;-3,34 (0,27 | 10 | 0,7) -3,25 (0,5 | 9 | 0) -3,2 (3,21 | 3 | 0) -3,19 (14,64 | 3 | 0) -3,19 (778,25 | 1 | 0) 
P000001;4,58;0,12;35;0,8;Sim/C/C04;4,29;0,28;6;0,67
P000001;4,58;0,12;35;0,8;Sim/C/C06;4,61;0,4;4;1
P000001;4,58;0,12;35;0,8;Sim/C/C08;4,43;0,22;5;0,4
P000001;4,58;0,12;35;0,8;Sim/C/C09;4,69;0,2;5;0,6;Sim/C/C04 Sim/C/C08 ;4,29 (0,28 | 6 | 0,67) 4,43 (0,22 | 5 | 0,4) 
P000002;1,59;0,18;35;0,69;Sim/B/B01;1,66;0,42;6;0,83
P000002;1,59;0,18;35;0,69;Sim/B/B02;1,49;0,44;10;0,6
P000002;1,59;0,18;35;0,69;Sim/B/B03;1,68;0,33;7;0,71
P000002;1,59;0,18;35;0,69;Sim/C/C03;1,38;0,36;6;0,83;Sim/B/B02 Sim/C/C03 Sim/C/C04 Sim/C/C07 ;1,49 (0,44 | 10 | 0,6) 1,38 (0,36 | 6 | 0,83) 1,45 (1,82 | 2 | 0) 1,46 (2,15 | 1 | 0) 
P000003;0,96;0,11;35;0,69;Sim/A/A02;0,82;0,4;5;0,8
P000003;0,96;0,11;35;0,69;Sim/B/B02;0,51;0,25;4;0,5
P000003;0,96;0,11;35;0,69;Sim/B/B03;0,6;0,24;5;0,2
P000003;0,96;0,11;35;0,69;Sim/C/C02;1,26;0,43;5;0,8
P000003;0,96;0,11;35;0,69;Sim/C/C03;1,03;0,25;7;0,71;Sim/A/A02 Sim/B/B02 Sim/B/B03 ;0,82 (0,4 | 5 | 0,8) 0,51 (0,25 | 4 | 0,5) 0,6 (0,24 | 5 | 0,2) 
P000004;4,03;0,12;35;0,8;Sim/C/C04;4,18;0,28;7;1
P000004;4,03;0,12;35;0,8;Sim/C/C05;3;0,23;6;0,17
P000004;4,03;0,12;35;0,8;Sim/C/C06;3,62;0,24;3;0,33
P000004;4,03;0,12;35;0,8;Sim/C/C07;4,09;0,27;4;1
P000004;4,03;0,12;35;0,8;Sim/C/C08;4,15;0,3;3;1
