ID;PP global;SE global;N global;f global;Scala Diagnose;PP Diagnose;SE Diagnose;N Diagnose;f Diagnose;alle Skalen;alle PP
P000000;-3,28;0,19;38;0,37;;;;;;Sim/B/B02 Sim/B/B01 Sim/A/A06 Sim/A/A02 Sim/A/A01 Sim/A/A05 ;-3,28 (1022,99 | 1 | 0) -3,29 (3,32 | 5 | 0) -3,29 (2,04 | 5 | 0) -3,31 (0,62 | 5 | 0) -3,31 (0,27 | 10 | 0,7) -3,92 (1,05 | 6 | 0,17) 
P000001;4,58;0,12;54;0,85;;;;;;Sim/C/C08 Sim/C/C04 Sim/B/B03 ;4,43 (0,22 | 5 | 0,4) 4,29 (0,25 | 10 | 0,7) 2,26 (0,85 | 6 | 0,83) 
P000002;1,56;0,16;49;0,69;Sim/B/B03;1,82;0,36;10;0,8;Sim/C/C07 Sim/C/C04 Sim/C/C03 Sim/B/B01 Sim/B/B02 ;1,56 (1,95 | 1 | 0) 1,55 (1,71 | 2 | 0) 1,44 (0,35 | 10 | 0,9) 1,4 (0,3 | 10 | 0,7) 1,32 (0,43 | 10 | 0,5) 
P000003;0,98;0,11;51;0,75;Sim/B/B01;1,89;0,46;10;0,8;Sim/A/A02 Sim/B/B03 Sim/B/B02 ;0,83 (0,39 | 10 | 0,9) 0,6 (0,24 | 5 | 0,2) 0,51 (0,25 | 5 | 0,4) 
P000004;4,24;0,1;70;0,73;Sim/C/C08;5,1;0,22;8;1;Sim/C/C09 Sim/C/C10 Sim/C/C06 Sim/C/C05 Sim/B/B03 ;3,93 (0,26 | 10 | 0,2) 3,78 (0,22 | 6 | 0,67) 3,62 (0,24 | 3 | 0,33) 3 (0,23 | 6 | 0,17) 2,55 (1,2 | 5 | 0,8) 
P000005;-2,51;0,15;37;0,3;Sim/B/B01;-1,79;0,46;10;0,1;Sim/B/B02 Sim/A/A06 Sim/A/A02 ;-2,51 (103,87 | 1 | 0) -2,56 (1,27 | 5 | 0) -3,24 (0,48 | 10 | 0,1) 
P000006;-1;0,09;59;0,34;Sim/A/A04;-0,71;0,24;6;0,67;Sim/B/B02 Sim/C/C03 Sim/C/C01 Sim/A/A02 Sim/A/A07 ;-1,01 (0,65 | 6 | 0) -1,03 (0,53 | 6 | 0,17) -1,17 (0,22 | 9 | 0,22) -1,54 (0,24 | 6 | 0,5) -1,82 (1,04 | 7 | 0,14) 
P000007;-4,1;0,14;27;0,22;Sim/A/A01;-4,08;0,22;6;0,5;Sim/B/B02 Sim/B/B01 Sim/A/A02 Sim/A/A06 Sim/A/A03 ;-4,1 (11584,04 | 1 | 0) -4,1 (4,72 | 5 | 0) -4,1 (2,36 | 5 | 0) -4,1 (3,07 | 5 | 0) -4,1 (0,19 | 5 | 0,6) 
P000008;0,29;0,1;70;0,69;Sim/C/C01;0,61;0,46;10;0,9;Sim/C/C02 Sim/A/A07 Sim/A/A02 Sim/A/A06 Sim/B/B01 Sim/A/A04 ;0,28 (0,28 | 10 | 0,5) 0,24 (0,37 | 10 | 0,8) 0,24 (0,34 | 10 | 0,8) 0,08 (0,54 | 9 | 0,89) -0,04 (0,24 | 5 | 0,6) -0,13 (0,24 | 3 | 0,33) 
P000009;-1,47;0,12;57;0,37;Sim/A/A04;-0,97;0,19;5;0,6;Sim/C/C01 Sim/A/A05 Sim/A/A02 Sim/B/B01 ;-1,59 (0,37 | 10 | 0,1) -1,81 (0,28 | 10 | 0,8) -1,98 (0,22 | 6 | 0,5) -2,51 (1,12 | 8 | 0) 
P000010;-4,31;0,16;24;0,13;Sim/A/A01;-4,27;0,23;5;0,4;Sim/B/B02 Sim/A/A02 Sim/B/B01 Sim/A/A06 Sim/A/A03 ;-4,31 (21599,41 | 1 | 0) -4,31 (3,03 | 5 | 0) -4,31 (5,01 | 5 | 0) -4,32 (3,31 | 5 | 0) -4,34 (0,24 | 3 | 0,33) 
P000011;-4,29;0,15;26;0,19;Sim/A/A01;-4,08;0,22;6;0,5;Sim/B/B02 Sim/A/A02 Sim/B/B01 Sim/A/A03 ;-4,29 (20617,01 | 1 | 0) -4,3 (2,98 | 5 | 0) -4,3 (4,98 | 5 | 0) -4,52 (0,25 | 4 | 0,25) 
P000012;-5,44;0,6;31;0,03;;;;;;Sim/B/B02 Sim/B/B01 Sim/A/A06 Sim/A/A01 ;-5,44 (612449,88 | 1 | 0) -5,45 (7,49 | 5 | 0) -5,46 (4,91 | 5 | 0) -5,55 (1,08 | 5 | 0) 
P000013;-5,65;0,88;26;0;;;;;;;
P000014;-3,83;0,15;31;0,32;Sim/A/A03;-3,81;0,22;7;0,57;Sim/B/B02 Sim/A/A01 Sim/A/A02 Sim/A/A06 ;-3,83 (5131,21 | 1 | 0) -3,84 (0,2 | 8 | 0,63) -3,84 (1,61 | 5 | 0) -3,84 (2,74 | 5 | 0) 
P000015;-1,49;0,13;58;0,21;Sim/C/C01;-1,08;0,23;6;0,5;Sim/B/B02 Sim/C/C02 Sim/C/C03 Sim/A/A06 Sim/A/A02 ;-1,54 (1,61 | 5 | 0) -1,76 (0,94 | 6 | 0,17) -1,89 (1,27 | 5 | 0,2) -1,92 (0,65 | 7 | 0) -1,99 (0,23 | 6 | 0,33) 
P000016;-4,41;0,15;27;0,19;Sim/A/A03;-4,01;0,21;5;0,6;Sim/B/B02 Sim/B/B01 Sim/A/A01 ;-4,41 (28656,64 | 1 | 0) -4,41 (5,14 | 5 | 0) -5,32 (0,73 | 6 | 0,17) 
P000017;-3,94;0,18;33;0,24;;;;;;Sim/B/B02 Sim/A/A02 Sim/A/A06 Sim/A/A05 Sim/A/A03 ;-3,94 (7091,91 | 1 | 0) -3,95 (1,92 | 5 | 0) -3,95 (2,88 | 5 | 0) -3,96 (0,96 | 5 | 0) -4,37 (0,21 | 6 | 0,33) 
