ID;PP global;SE global;N global;f global;Scala Diagnose;PP Diagnose;SE Diagnose;N Diagnose;f Diagnose;alle Skalen;alle PP
P000000;-3,35;0,19;55;0,27;Sim/A/A01;-3,56;0,28;4;0,5
P000000;-3,35;0,19;55;0,27;Sim/A/A02;-3,37;0,61;10;0
P000000;-3,35;0,19;55;0,27;Sim/A/A03;-3,21;0,4;10;1
P000000;-3,35;0,19;55;0,27;Sim/A/A05;-3,48;0,46;10;0,2;Sim/A/A01 Sim/A/A02 Sim/A/A05 Sim/B/B01 Sim/B/B02 Sim/C/C01 Sim/C/C02 Sim/C/C03 ;-3,56 (0,28 | 4 | 0,5) -3,37 (0,61 | 10 | 0) -3,48 (0,46 | 10 | 0,2) -3,35 (7,45 | 4 | 0) -3,35 (6,34 | 3 | 0) -3,36 (2,61 | 3 | 0) -3,38 (2,27 | 4 | 0,25) -3,35 (4,87 | 1 | 0) 
P000001;4,7;0,13;69;0,88;Sim/B/B04;4,72;0,91;10;1
P000001;4,7;0,13;69;0,88;Sim/C/C05;4,74;0,65;10;0,8
P000001;4,7;0,13;69;0,88;Sim/C/C06;4,98;0,62;10;0,9
P000001;4,7;0,13;69;0,88;Sim/C/C07;4,71;0,55;10;1
P000001;4,7;0,13;69;0,88;Sim/C/C09;4,69;0,2;5;0,6
P000001;4,7;0,13;69;0,88;Sim/C/C10;4,71;0,47;10;1;Sim/C/C04 Sim/C/C09 ;4,6 (0,35 | 2 | 0) 4,69 (0,2 | 5 | 0,6) 
P000002;1,52;0,14;126;0,6;Sim/A/A02;1,66;0,76;10;1
P000002;1,52;0,14;126;0,6;Sim/A/A04;1,36;0,78;10;0,9
P000002;1,52;0,14;126;0,6;Sim/A/A07;1,23;0,97;10;0,8
P000002;1,52;0,14;126;0,6;Sim/B/B01;1,4;0,3;9;0,67
P000002;1,52;0,14;126;0,6;Sim/B/B02;1,49;0,44;10;0,6
P000002;1,52;0,14;126;0,6;Sim/B/B03;1,68;0,33;7;0,71
P000002;1,52;0,14;126;0,6;Sim/B/B04;1,29;1,06;10;0,1
P000002;1,52;0,14;126;0,6;Sim/C/C01;1,84;1,42;10;0,9
P000002;1,52;0,14;126;0,6;Sim/C/C02;1,58;0,58;10;0,9
P000002;1,52;0,14;126;0,6;Sim/C/C03;1,44;0,35;10;0,9
P000002;1,52;0,14;126;0,6;Sim/C/C04;1,4;1,02;10;0,1
P000002;1,52;0,14;126;0,6;Sim/C/C07;1,51;1,03;10;0
P000002;1,52;0,14;126;0,6;Sim/C/C10;2,05;0,8;10;0,2;Sim/A/A04 Sim/A/A07 Sim/B/B01 Sim/B/B02 Sim/B/B04 Sim/C/C03 Sim/C/C04 Sim/C/C07 ;1,36 (0,78 | 10 | 0,9) 1,23 (0,97 | 10 | 0,8) 1,4 (0,3 | 9 | 0,67) 1,49 (0,44 | 10 | 0,6) 1,29 (1,06 | 10 | 0,1) 1,44 (0,35 | 10 | 0,9) 1,4 (1,02 | 10 | 0,1) 1,51 (1,03 | 10 | 0) 
P000003;0,82;0,1;102;0,6;Sim/A/A02;0,83;0,39;10;0,9
P000003;0,82;0,1;102;0,6;Sim/A/A04;1,14;0,65;10;1
P000003;0,82;0,1;102;0,6;Sim/A/A06;0,16;0,57;10;0,9
P000003;0,82;0,1;102;0,6;Sim/B/B01;0,9;0,27;4;1
P000003;0,82;0,1;102;0,6;Sim/B/B02;0,51;0,25;4;0,5
P000003;0,82;0,1;102;0,6;Sim/B/B03;0,6;0,24;5;0,2
P000003;0,82;0,1;102;0,6;Sim/C/C01;-0,18;0,22;6;0,5
P000003;0,82;0,1;102;0,6;Sim/C/C02;1,38;0,45;10;0,9
P000003;0,82;0,1;102;0,6;Sim/C/C03;0,93;0,25;5;0,6
P000003;0,82;0,1;102;0,6;Sim/C/C04;1,17;1,19;10;0,1;Sim/A/A06 Sim/B/B02 Sim/B/B03 Sim/B/B04 Sim/C/C01 Sim/C/C05 Sim/C/C07 Sim/C/C10 ;0,16 (0,57 | 10 | 0,9) 0,51 (0,25 | 4 | 0,5) 0,6 (0,24 | 5 | 0,2) -0,12 (1,88 | 9 | 0,11) -0,18 (0,22 | 6 | 0,5) 0,81 (2,55 | 3 | 0) 0,82 (2,35 | 3 | 0) 0,81 (2,75 | 3 | 0) 
P000004;4,15;0,11;44;0,75;Sim/B/B04;4,61;0,81;10;0,8
P000004;4,15;0,11;44;0,75;Sim/C/C04;4,25;0,33;4;1
P000004;4,15;0,11;44;0,75;Sim/C/C06;3,57;0,22;5;0,2
P000004;4,15;0,11;44;0,75;Sim/C/C07;4,19;0,32;3;1
P000004;4,15;0,11;44;0,75;Sim/C/C08;4,27;0,26;3;1
P000004;4,15;0,11;44;0,75;Sim/C/C09;4,13;0,31;3;0,33
P000004;4,15;0,11;44;0,75;Sim/C/C10;4,12;0,32;4;0,75;Sim/C/C05 Sim/C/C06 Sim/C/C09 Sim/C/C10 ;4,07 (0,34 | 2 | 0) 3,57 (0,22 | 5 | 0,2) 4,13 (0,31 | 3 | 0,33) 4,12 (0,32 | 4 | 0,75) 
P000005;-2,54;0,16;69;0,35;Sim/A/A01;-2,49;0,54;10;1
P000005;-2,54;0,16;69;0,35;Sim/A/A02;-2,68;0,26;5;0
P000005;-2,54;0,16;69;0,35;Sim/A/A03;-2,35;0,89;10;0,9
P000005;-2,54;0,16;69;0,35;Sim/A/A05;-2,22;0,24;5;0,6
P000005;-2,54;0,16;69;0,35;Sim/A/A06;-2,56;0,93;10;0
P000005;-2,54;0,16;69;0,35;Sim/B/B01;-1,79;0,46;10;0,1
P000005;-2,54;0,16;69;0,35;Sim/C/C01;-2,56;1,04;10;0;Sim/A/A02 Sim/A/A06 Sim/C/C01 Sim/C/C02 ;-2,68 (0,26 | 5 | 0) -2,56 (0,93 | 10 | 0) -2,56 (1,04 | 10 | 0) -3,51 (2,19 | 6 | 0,17) 
P000006;-1;0,09;67;0,48;Sim/A/A01;-0,99;1,48;10;1
P000006;-1;0,09;67;0,48;Sim/A/A02;-1,59;0,29;3;0,33
P000006;-1;0,09;67;0,48;Sim/A/A04;-0,77;0,25;5;0,6
P000006;-1;0,09;67;0,48;Sim/A/A06;-0,78;0,17;5;0,6
P000006;-1;0,09;67;0,48;Sim/A/A07;-1,02;0,32;3;0
P000006;-1;0,09;67;0,48;Sim/B/B01;-1,14;0,33;6;0,33
P000006;-1;0,09;67;0,48;Sim/B/B02;-1,24;0,94;10;0
P000006;-1;0,09;67;0,48;Sim/C/C01;-1,24;0,32;3;0,33
P000006;-1;0,09;67;0,48;Sim/C/C02;-0,79;0,26;3;0,33
