ID;PP global;SE global;N global;f global;Scala Diagnose;PP Diagnose;SE Diagnose;N Diagnose;f Diagnose;alle Skalen;alle PP
P000000;-3,19;0,22;37;0,46;Sim/A/A01;-3,34;0,27;10;0,7;Sim/A/A01 Sim/A/A02 Sim/A/A06 Sim/B/B01 Sim/B/B02 ;-3,34 (0,27 | 10 | 0,7) -3,25 (0,5 | 10 | 0) -3,2 (3,22 | 3 | 0) -3,19 (14,7 | 3 | 0) -3,19 (783,16 | 1 | 0) 
P000001;4,94;0,59;10;1;;;;;;;
P000002;1,58;0,16;49;0,71;Sim/B/B02;1,32;0,43;10;0,5;Sim/B/B02 Sim/B/B01 Sim/C/C03 Sim/C/C04 Sim/C/C07 ;1,32 (0,43 | 10 | 0,5) 1,4 (0,3 | 10 | 0,7) 1,44 (0,35 | 10 | 0,9) 1,49 (1,78 | 2 | 0) 1,5 (2,07 | 1 | 0) 
P000003;1,01;0,11;52;0,77;Sim/B/B02;0,51;0,25;4;0,5;Sim/B/B02 Sim/B/B03 Sim/A/A02 ;0,51 (0,25 | 4 | 0,5) 0,6 (0,24 | 5 | 0,2) 0,83 (0,39 | 10 | 0,9) 
P000004;4,94;0,59;10;0,9;;;;;;Sim/C/C09 ;4,38 (0,38 | 1 | 0) 
P000005;-2,59;0,16;27;0,33;Sim/A/A02;-3,24;0,48;10;0,1;Sim/A/A02 Sim/A/A06 Sim/B/B01 Sim/B/B02 ;-3,24 (0,48 | 10 | 0,1) -2,59 (1,94 | 3 | 0) -2,59 (4,35 | 3 | 0) -2,59 (130,51 | 1 | 0) 
P000006;-0,97;0,09;51;0,43;Sim/A/A02;-1,54;0,24;7;0,57;Sim/A/A02 Sim/C/C01 Sim/B/B02 ;-1,54 (0,24 | 7 | 0,57) -1,17 (0,22 | 9 | 0,22) -0,98 (0,62 | 6 | 0) 
P000007;-4,09;0,15;22;0,27;Sim/A/A03;-4,1;0,19;5;0,6;Sim/A/A03 Sim/A/A06 Sim/A/A02 Sim/B/B01 Sim/B/B02 ;-4,1 (0,19 | 5 | 0,6) -4,09 (5 | 3 | 0) -4,09 (3,35 | 4 | 0) -4,09 (89,34 | 3 | 0) -4,09 (11095 | 1 | 0) 
P000008;0,23;0,1;68;0,68;Sim/A/A04;-0,13;0,24;3;0,33;Sim/A/A04 Sim/B/B01 Sim/A/A07 Sim/A/A06 ;-0,13 (0,24 | 3 | 0,33) -0,04 (0,24 | 5 | 0,6) 0,06 (0,31 | 10 | 0,7) 0,08 (0,54 | 9 | 0,89) 
P000009;-1,91;0,15;32;0,44;Sim/A/A02;-1,98;0,22;6;0,5;Sim/A/A02 Sim/B/B01 ;-1,98 (0,22 | 6 | 0,5) -1,93 (0,58 | 6 | 0) 
P000010;-4,3;0,16;19;0,16;Sim/A/A03;-4,34;0,24;3;0,33;Sim/A/A03 Sim/A/A06 Sim/A/A02 Sim/B/B01 Sim/B/B02 ;-4,34 (0,24 | 3 | 0,33) -4,31 (5,24 | 3 | 0) -4,3 (5,3 | 4 | 0) -4,3 (138,67 | 3 | 0) -4,3 (21169,03 | 1 | 0) 
P000011;-4,29;0,15;21;0,19;Sim/A/A03;-4,52;0,25;4;0,25;Sim/A/A03 Sim/A/A06 Sim/A/A02 Sim/B/B01 Sim/B/B02 ;-4,52 (0,25 | 4 | 0,25) -4,29 (5,23 | 3 | 0) -4,29 (5,17 | 4 | 0) -4,29 (135,41 | 3 | 0) -4,29 (20440,98 | 1 | 0) 
P000012;-5,25;0,68;15;0;;;;;;;
P000013;-5,25;0,68;15;0;;;;;;;
P000014;-4,08;0,15;22;0,27;Sim/A/A03;-4,24;0,21;4;0,5;Sim/A/A03 Sim/A/A06 Sim/A/A02 Sim/B/B01 Sim/B/B02 ;-4,24 (0,21 | 4 | 0,5) -4,09 (5 | 3 | 0) -4,09 (3,34 | 4 | 0) -4,08 (89,11 | 3 | 0) -4,08 (11052,2 | 1 | 0) 
P000015;-1,7;0,17;36;0,42;Sim/A/A02;-1,88;0,23;6;0,5;Sim/A/A06 Sim/A/A02 ;-2,75 (1,3 | 9 | 0,11) -1,88 (0,23 | 6 | 0,5) 
P000016;-5,25;0,68;15;0;;;;;;;
P000017;-3,92;0,18;26;0,27;Sim/A/A03;-4,37;0,21;6;0,33;Sim/A/A03 Sim/A/A05 Sim/A/A06 Sim/A/A02 Sim/B/B01 Sim/B/B02 ;-4,37 (0,21 | 6 | 0,33) -3,93 (1,11 | 3 | 0) -3,92 (4,59 | 3 | 0) -3,92 (2,36 | 4 | 0) -3,92 (63,79 | 3 | 0) -3,92 (6763,3 | 1 | 0) 
P000018;-0,28;0,08;63;0,49;Sim/B/B02;-0,55;0,25;10;0,1;Sim/B/B02 Sim/C/C02 Sim/C/C01 Sim/A/A07 Sim/C/C03 ;-0,55 (0,25 | 10 | 0,1) -0,46 (0,24 | 4 | 0,5) -0,37 (0,23 | 4 | 0,5) -0,36 (0,21 | 6 | 0,5) -0,33 (0,32 | 10 | 0,4) 
P000019;1,13;0,13;46;0,63;Sim/C/C03;0,62;0,21;5;0,4;Sim/C/C03 Sim/C/C04 Sim/B/B02 Sim/C/C02 Sim/B/B04 ;0,62 (0,21 | 5 | 0,4) 0,79 (7,87 | 1 | 0) 0,81 (0,27 | 10 | 0,5) 1,05 (0,33 | 10 | 0,9) 1,13 (4,19 | 3 | 0) 
P000020;0,11;0,09;72;0,65;Sim/C/C03;-0,35;0,32;10;0,3;Sim/C/C03 Sim/B/B01 Sim/C/C01 ;-0,35 (0,32 | 10 | 0,3) -0,26 (0,25 | 5 | 0,6) -0,05 (0,22 | 9 | 0,67) 
P000021;-5,25;0,68;15;0;;;;;;;
P000022;-4,52;0,17;19;0,11;Sim/A/A01;-4,66;0,25;5;0,2;Sim/A/A01 Sim/A/A06 Sim/A/A02 Sim/B/B01 Sim/B/B02 ;-4,66 (0,25 | 5 | 0,2) -4,52 (5,46 | 3 | 0) -4,52 (8,38 | 4 | 0) -4,52 (214,73 | 3 | 0) -4,52 (40252,19 | 1 | 0) 
P000023;4,94;0,59;10;1;;;;;;;
P000024;0,74;0,1;66;0,67;Sim/C/C02;0,19;0,26;10;0,5;Sim/C/C02 Sim/A/A02 Sim/A/A04 Sim/B/B02 Sim/B/B01 ;0,19 (0,26 | 10 | 0,5) 0,24 (0,34 | 10 | 0,8) 0,55 (0,32 | 10 | 0,8) 0,56 (0,23 | 6 | 0,5) 0,57 (0,3 | 10 | 0,5) 
P000025;4,94;0,59;10;1;;;;;;;
P000026;-1,95;0,17;18;0,44;Sim/A/A02;-2,13;0,24;7;0,43;Sim/A/A02 Sim/B/B01 ;-2,13 (0,24 | 7 | 0,43) -1,96 (0,77 | 3 | 0) 
P000027;1,86;0,21;37;0,68;Sim/B/B02;1,32;0,43;10;0,6;Sim/B/B02 Sim/B/B04 Sim/C/C07 Sim/C/C04 ;1,32 (0,43 | 10 | 0,6) 1,84 (0,91 | 4 | 0) 1,86 (1,46 | 1 | 0) 1,86 (1,69 | 1 | 0) 
P000028;0,88;0,1;62;0,73;Sim/B/B01;0,44;0,3;10;0,5;Sim/B/B01 Sim/C/C03 Sim/A/A02 ;0,44 (0,3 | 10 | 0,5) 0,58 (0,19 | 5 | 0,6) 0,83 (0,39 | 10 | 0,9) 
P000029;2,16;0,21;34;0,62;Sim/B/B01;1,8;0,43;10;0,9;Sim/B/B04 Sim/B/B01 Sim/C/C07 Sim/C/C04 ;1,76 (0,86 | 7 | 0,14) 1,8 (0,43 | 10 | 0,9) 2,14 (1,16 | 1 | 0) 2,14 (1,17 | 1 | 0) 
P000030;-2,63;0,15;31;0,48;Sim/A/A05;-2,77;0,22;4;0,5;Sim/A/A05 Sim/A/A02 Sim/B/B01 ;-2,77 (0,22 | 4 | 0,5) -2,65 (0,24 | 7 | 0,29) -2,63 (1,75 | 3 | 0) 
P000031;-3,26;0,18;40;0,35;;;;;;Sim/A/A05 Sim/A/A02 Sim/A/A06 Sim/B/B01 Sim/B/B02 ;-3,59 (0,57 | 8 | 0) -3,29 (0,56 | 7 | 0) -3,26 (3,32 | 3 | 0) -3,26 (16,84 | 3 | 0) -3,26 (956,23 | 1 | 0) 
